Time	Beci_x	Beci_y	Beci_z	Bbrf_x	Bbrf_y	Bbrf_z
0.900000	-0.000013	0.000005	0.000015	0.000009	0.000017	-0.000006
1.900000	-0.000013	0.000005	0.000015	0.000010	0.000017	-0.000006
2.900000	-0.000013	0.000005	0.000015	0.000010	0.000017	-0.000006
3.900000	-0.000013	0.000005	0.000015	0.000010	0.000017	-0.000005
4.900000	-0.000013	0.000005	0.000015	0.000010	0.000017	-0.000005
5.900000	-0.000013	0.000005	0.000016	0.000010	0.000017	-0.000005
6.900000	-0.000013	0.000005	0.000016	0.000010	0.000017	-0.000004
7.900000	-0.000013	0.000005	0.000016	0.000011	0.000017	-0.000004
8.900000	-0.000013	0.000005	0.000016	0.000011	0.000017	-0.000004
9.900000	-0.000013	0.000005	0.000016	0.000011	0.000017	-0.000003
10.900000	-0.000013	0.000005	0.000016	0.000011	0.000017	-0.000003
11.900000	-0.000013	0.000005	0.000016	0.000011	0.000017	-0.000003
12.900000	-0.000013	0.000005	0.000016	0.000011	0.000017	-0.000002
13.900000	-0.000013	0.000005	0.000016	0.000011	0.000017	-0.000002
14.900000	-0.000013	0.000005	0.000016	0.000011	0.000017	-0.000002
15.900000	-0.000013	0.000005	0.000016	0.000011	0.000017	-0.000001
16.900000	-0.000013	0.000005	0.000016	0.000011	0.000017	-0.000001
17.900000	-0.000013	0.000005	0.000016	0.000011	0.000017	-0.000001
18.900000	-0.000013	0.000005	0.000016	0.000011	0.000017	-0.000001
19.900000	-0.000013	0.000005	0.000016	0.000011	0.000017	-0.000000
20.900000	-0.000013	0.000005	0.000016	0.000011	0.000017	-0.000000
21.900000	-0.000013	0.000005	0.000016	0.000011	0.000017	0.000000
22.900000	-0.000013	0.000005	0.000016	0.000011	0.000017	0.000000
23.900000	-0.000013	0.000005	0.000016	0.000011	0.000018	0.000001
24.900000	-0.000013	0.000005	0.000016	0.000011	0.000018	0.000001
25.900000	-0.000013	0.000005	0.000016	0.000011	0.000018	0.000001
26.900000	-0.000013	0.000005	0.000016	0.000011	0.000018	0.000001
27.900000	-0.000013	0.000005	0.000016	0.000011	0.000018	0.000001
28.900000	-0.000013	0.000005	0.000016	0.000011	0.000018	0.000002
29.900000	-0.000012	0.000005	0.000016	0.000010	0.000018	0.000002
30.900000	-0.000012	0.000005	0.000016	0.000010	0.000018	0.000002
31.900000	-0.000012	0.000005	0.000016	0.000010	0.000018	0.000002
32.900000	-0.000012	0.000005	0.000016	0.000010	0.000018	0.000002
33.900000	-0.000012	0.000005	0.000016	0.000010	0.000018	0.000002
34.900000	-0.000012	0.000005	0.000016	0.000010	0.000018	0.000002
35.900000	-0.000012	0.000005	0.000016	0.000009	0.000018	0.000002
36.900000	-0.000012	0.000005	0.000016	0.000009	0.000018	0.000002
37.900000	-0.000012	0.000005	0.000016	0.000009	0.000019	0.000002
38.900000	-0.000012	0.000005	0.000016	0.000009	0.000019	0.000002
39.900000	-0.000012	0.000005	0.000016	0.000009	0.000019	0.000002
40.900000	-0.000012	0.000005	0.000016	0.000008	0.000019	0.000002
41.900000	-0.000012	0.000005	0.000016	0.000008	0.000019	0.000002
42.900000	-0.000012	0.000005	0.000016	0.000008	0.000019	0.000002
43.900000	-0.000012	0.000005	0.000016	0.000008	0.000019	0.000002
44.900000	-0.000012	0.000005	0.000016	0.000007	0.000019	0.000002
45.900000	-0.000012	0.000005	0.000016	0.000007	0.000019	0.000002
46.900000	-0.000012	0.000005	0.000016	0.000007	0.000019	0.000002
47.900000	-0.000012	0.000005	0.000016	0.000007	0.000019	0.000002
48.900000	-0.000012	0.000005	0.000016	0.000006	0.000020	0.000002
49.900000	-0.000012	0.000005	0.000016	0.000006	0.000020	0.000002
50.900000	-0.000012	0.000005	0.000016	0.000006	0.000020	0.000002
51.900000	-0.000012	0.000005	0.000016	0.000006	0.000020	0.000002
52.900000	-0.000012	0.000005	0.000016	0.000005	0.000020	0.000001
53.900000	-0.000012	0.000005	0.000016	0.000005	0.000020	0.000001
54.900000	-0.000012	0.000005	0.000016	0.000005	0.000020	0.000001
55.900000	-0.000012	0.000005	0.000016	0.000005	0.000020	0.000001
56.900000	-0.000012	0.000005	0.000016	0.000004	0.000020	0.000001
57.900000	-0.000012	0.000005	0.000016	0.000004	0.000020	0.000000
58.900000	-0.000012	0.000005	0.000016	0.000004	0.000020	0.000000
59.900000	-0.000012	0.000005	0.000016	0.000004	0.000020	-0.000000
60.900000	-0.000012	0.000005	0.000016	0.000003	0.000020	-0.000000
61.900000	-0.000012	0.000005	0.000016	0.000003	0.000020	-0.000001
62.900000	-0.000012	0.000005	0.000016	0.000003	0.000021	-0.000001
63.900000	-0.000012	0.000005	0.000016	0.000003	0.000021	-0.000001
64.900000	-0.000012	0.000005	0.000016	0.000002	0.000021	-0.000001
65.900000	-0.000012	0.000005	0.000016	0.000002	0.000021	-0.000002
66.900000	-0.000012	0.000005	0.000016	0.000002	0.000021	-0.000002
67.900000	-0.000012	0.000005	0.000016	0.000001	0.000021	-0.000002
68.900000	-0.000012	0.000005	0.000016	0.000001	0.000021	-0.000003
69.900000	-0.000012	0.000005	0.000016	0.000001	0.000020	-0.000003
70.900000	-0.000012	0.000005	0.000016	0.000001	0.000020	-0.000003
71.900000	-0.000012	0.000005	0.000016	0.000001	0.000020	-0.000004
72.900000	-0.000012	0.000005	0.000016	0.000000	0.000020	-0.000004
73.900000	-0.000012	0.000005	0.000016	0.000000	0.000020	-0.000004
74.900000	-0.000012	0.000005	0.000016	-0.000000	0.000020	-0.000005
75.900000	-0.000012	0.000005	0.000016	-0.000000	0.000020	-0.000005
76.900000	-0.000012	0.000005	0.000016	-0.000001	0.000020	-0.000005
77.900000	-0.000012	0.000005	0.000016	-0.000001	0.000020	-0.000006
78.900000	-0.000012	0.000005	0.000016	-0.000001	0.000020	-0.000006
79.900000	-0.000012	0.000005	0.000016	-0.000001	0.000020	-0.000006
80.900000	-0.000012	0.000005	0.000016	-0.000001	0.000020	-0.000007
81.900000	-0.000012	0.000005	0.000016	-0.000002	0.000019	-0.000007
82.900000	-0.000012	0.000005	0.000016	-0.000002	0.000019	-0.000007
83.900000	-0.000012	0.000005	0.000016	-0.000002	0.000019	-0.000008
84.900000	-0.000012	0.000005	0.000017	-0.000002	0.000019	-0.000008
85.900000	-0.000012	0.000005	0.000017	-0.000002	0.000019	-0.000008
86.900000	-0.000012	0.000005	0.000017	-0.000002	0.000019	-0.000009
87.900000	-0.000012	0.000005	0.000017	-0.000002	0.000019	-0.000009
88.900000	-0.000011	0.000005	0.000017	-0.000003	0.000018	-0.000009
89.900000	-0.000011	0.000005	0.000017	-0.000003	0.000018	-0.000010
90.900000	-0.000011	0.000005	0.000017	-0.000003	0.000018	-0.000010
91.900000	-0.000011	0.000005	0.000017	-0.000003	0.000018	-0.000010
92.900000	-0.000011	0.000005	0.000017	-0.000003	0.000018	-0.000010
93.900000	-0.000011	0.000005	0.000017	-0.000003	0.000017	-0.000011
94.900000	-0.000011	0.000005	0.000017	-0.000003	0.000017	-0.000011
95.900000	-0.000011	0.000005	0.000017	-0.000003	0.000017	-0.000011
96.900000	-0.000011	0.000005	0.000017	-0.000004	0.000017	-0.000012
97.900000	-0.000011	0.000005	0.000017	-0.000004	0.000017	-0.000012
98.900000	-0.000011	0.000005	0.000017	-0.000004	0.000016	-0.000012
99.900000	-0.000011	0.000005	0.000017	-0.000004	0.000016	-0.000012
100.900000	-0.000011	0.000005	0.000017	-0.000004	0.000016	-0.000013
